image,gt_category,yolo_label,label_correct,boxer_nd_ARE,boxer_mg_ARE,rule_yolo_ARE,rule_gt_ARE
0052.jpg,desk,Desk,True,0.1303,0.0403,0.1880,0.1880
0055.jpg,desk,Desk,True,0.1844,0.1527,0.1880,0.1880
0056.jpg,desk,Desk,True,0.0975,0.0798,0.1880,0.1880
0058.jpg,desk,Desk,True,0.0568,0.0554,0.1880,0.1880
0060.jpg,desk,Desk,True,0.0521,0.0050,0.1880,0.1880
0006.png,sofa,Sofa,True,0.0319,0.1180,0.0840,0.0840
0009.png,sofa,Sofa,True,0.1712,0.1849,0.0840,0.0840
0013.png,sofa,Sofa,True,0.1358,0.1065,0.0816,0.0816
0026.png,sofa,Sofa,True,0.1087,0.2104,0.0816,0.0816
0030.png,sofa,Sofa,True,0.2488,0.1255,0.0759,0.0759
0038.png,sofa,Sofa,True,0.1956,0.1479,0.0759,0.0759
0039.png,sofa,Sofa,True,0.0988,0.0528,0.0759,0.0759
0051.png,sofa,Sofa,True,0.0420,0.0242,0.0759,0.0759
0056.png,sofa,Sofa,True,0.1547,0.1914,0.0859,0.0859
0060.png,sofa,Sofa,True,0.2481,0.1580,0.0586,0.0586
0062.png,sofa,Sofa,True,0.0710,0.0252,0.0586,0.0586
0063.png,sofa,Sofa,True,0.1255,0.1095,0.0759,0.0759
0066.png,sofa,Sofa,True,0.0201,0.0356,0.0759,0.0759
0067.png,sofa,Sofa,True,0.1371,0.1339,0.0840,0.0840
0068.png,sofa,Sofa,True,0.0506,0.1771,0.0759,0.0759
0069.png,sofa,Sofa,True,0.1426,0.0627,0.0757,0.0757
0085.png,sofa,Sofa,True,0.0611,0.0307,0.0757,0.0757
0087.png,sofa,Sofa,True,0.1642,0.1186,0.0759,0.0759
0089.png,sofa,Sofa,True,0.0321,0.0335,0.0759,0.0759
0095.png,sofa,Sofa,True,0.0855,0.0405,0.0757,0.0757
0098.png,sofa,Sofa,True,0.1710,0.1861,0.0759,0.0759
0099.png,sofa,Sofa,True,0.0454,0.1676,0.0600,0.0600
0101.png,sofa,Sofa,True,0.2131,0.2024,0.0600,0.0600
0103.png,sofa,Sofa,True,0.1790,0.1780,0.0859,0.0859
0104.png,sofa,Sofa,True,0.1387,0.1590,0.0600,0.0600
0106.png,sofa,Sofa,True,0.1276,0.1699,0.0859,0.0859
0107.png,sofa,Sofa,True,0.0321,0.0658,0.0727,0.0727
0111.png,sofa,Sofa,True,0.2200,0.2223,0.0600,0.0600
0112.png,sofa,Sofa,True,0.2123,0.2161,0.0859,0.0859
0113.png,sofa,Sofa,True,0.0590,0.1281,0.0600,0.0600
0001.png,table,Coffee Table,True,0.0866,0.0464,0.0296,0.0463
0002.png,table,Coffee Table,True,0.1327,0.2487,0.0296,0.0463
0003.png,table,Coffee Table,True,0.0809,0.0340,0.0296,0.0463
0006.png,table,Coffee Table,True,0.0571,0.0871,0.0525,0.0692
0010.png,table,Coffee Table,True,0.0904,0.0376,0.0296,0.0463
0011.png,table,Desk,True,0.0569,0.0283,0.2061,0.1894
0015.png,table,Desk,True,0.2620,0.1135,0.0630,0.0463
0016.png,table,Vanity Table,True,0.0495,0.0235,0.2061,0.1894
0019.png,table,Desk,True,0.1690,0.2402,0.0630,0.0463
0021.png,table,Desk,True,0.1266,0.1098,0.2061,0.1894
0022.png,table,NO_DETECTION,False,0.0488,0.1457,0.2061,0.1894
0027.png,table,Coffee Table,True,0.0862,0.0956,0.0993,0.1160
0028.png,table,Vanity Table,True,0.2095,0.0600,0.2061,0.1894
0031.png,table,Coffee Table,True,0.1055,0.1076,0.0993,0.1160
0035.png,table,Coffee Table,True,0.0716,0.1229,0.0296,0.0463
0036.png,table,Desk,True,0.1089,0.0525,0.2061,0.1894
0038.png,table,Coffee Table,True,0.1852,0.1177,0.0296,0.0463
0042.png,table,Coffee Table,True,0.0144,0.0261,0.0296,0.0463
0043.png,table,Coffee Table,True,0.0899,0.0640,0.0296,0.0463
0044.png,table,Desk,True,0.0554,0.0362,0.0630,0.0463
0045.png,table,Coffee Table,True,0.0539,0.0533,0.0525,0.0692
0047.png,table,Dining Table,True,0.2614,0.0503,0.2061,0.1894
0048.png,table,Coffee Table,True,0.0386,0.1464,0.0525,0.0692
0049.png,table,Desk,True,0.2314,0.0292,0.2061,0.1894
0050.png,table,Coffee Table,True,0.1628,0.1623,0.0525,0.0692
0052.png,table,Dining Table,True,0.1789,0.1105,0.2061,0.1894
0053.png,table,Coffee Table,True,0.2074,0.0232,0.0296,0.0463
0054.png,table,Coffee Table,True,0.1557,0.1422,0.0296,0.0463
0055.png,table,Coffee Table,True,0.1098,0.2210,0.0993,0.1160
0056.png,table,Coffee Table,True,0.1442,0.1610,0.2496,0.2329
0001.jpg,wardrobe,Cabinet/shelf,True,0.0176,0.0701,0.1533,0.0164
0002.jpg,wardrobe,Cabinet/shelf,True,0.0172,0.0357,0.1533,0.0164
0003.jpg,wardrobe,Cabinet/shelf,True,0.0386,0.0081,0.1533,0.0164
0004.jpg,wardrobe,Cabinet/shelf,True,0.0921,0.0443,0.1533,0.0164
0006.jpg,wardrobe,Cabinet/shelf,True,0.0471,0.0184,0.1533,0.0164
0007.jpg,wardrobe,Cabinet/shelf,True,0.0468,0.0502,0.1533,0.0164
0008.jpg,wardrobe,Cabinet/shelf,True,0.1398,0.2564,0.1533,0.0164
0009.jpg,wardrobe,Cabinet/shelf,True,0.2091,0.0524,0.1533,0.0164
0010.jpg,wardrobe,Cabinet/shelf,True,0.0911,0.0463,0.1533,0.0164
0011.jpg,wardrobe,Cabinet/shelf,True,0.0283,0.0311,0.1533,0.0164
0012.jpg,wardrobe,Cabinet/shelf,True,0.0829,0.1093,0.1533,0.0164
0013.jpg,wardrobe,Cabinet/shelf,True,0.2342,0.1133,0.1533,0.0164
0014.jpg,wardrobe,Cabinet/shelf,True,0.0136,0.0159,0.1533,0.0164
0015.jpg,wardrobe,NO_DETECTION,False,0.0169,0.0674,0.1533,0.0164
0016.jpg,wardrobe,Cabinet/shelf,True,0.2236,0.2215,0.1533,0.0164
0018.jpg,wardrobe,Cabinet/shelf,True,0.0537,0.3325,0.1533,0.0164
0020.jpg,wardrobe,Cabinet/shelf,True,0.0456,0.0463,0.1533,0.0164
0022.jpg,wardrobe,Cabinet/shelf,True,0.0380,0.0165,0.1533,0.0164
0023.jpg,wardrobe,Wardrobe,True,0.0766,0.1313,0.0164,0.0164
0024.jpg,wardrobe,Cabinet/shelf,True,0.1144,0.2687,0.1533,0.0164
0025.jpg,wardrobe,Cabinet/shelf,True,0.1492,0.0888,0.1533,0.0164
0026.jpg,wardrobe,Cabinet/shelf,True,0.2076,0.1818,0.1533,0.0164
0027.jpg,wardrobe,Cabinet/shelf,True,0.1010,0.0679,0.1533,0.0164
0028.jpg,wardrobe,Cabinet/shelf,True,0.1661,0.3005,0.1533,0.0164
0029.jpg,wardrobe,Wardrobe,True,0.0580,0.0576,0.0164,0.0164
0030.jpg,wardrobe,Cabinet/shelf,True,0.0420,0.0062,0.1533,0.0164
0031.jpg,wardrobe,Cabinet/shelf,True,0.0959,0.0431,0.1533,0.0164
0032.jpg,wardrobe,Cabinet/shelf,True,0.1568,0.0114,0.1533,0.0164
0033.jpg,wardrobe,Cabinet/shelf,True,0.0361,0.2047,0.1533,0.0164
0035.jpg,wardrobe,Cabinet/shelf,True,0.0430,0.0099,0.1533,0.0164
