image,category,A_baseline_ARE,B_moge_intrinsics_ARE,C_ar_preserve_ARE,D_both_improved_ARE,E_hybrid_ARE,F_rule_ARE
0041.png,chair,0.1877,0.0930,0.1412,0.0819,0.0549,0.0549
0044.png,chair,0.1391,0.0479,0.1049,0.1940,0.0416,0.0416
0045.png,chair,0.2093,0.1459,0.1723,0.1504,0.0416,0.0416
0046.png,chair,0.2049,0.1133,0.1390,0.1061,0.0549,0.0549
0047.png,chair,0.0240,0.1962,0.0498,0.1637,0.0550,0.0550
0048.png,chair,0.0478,0.2730,0.0986,0.2430,0.0550,0.0550
0049.png,chair,0.0589,0.1460,0.1060,0.1296,0.0473,0.0473
0050.png,chair,0.0821,0.0705,0.1399,0.0911,0.0549,0.0549
0051.png,chair,0.2313,0.3215,0.0558,0.2452,0.0619,0.0619
0053.png,chair,0.1047,0.0508,0.0497,0.0508,0.0473,0.0473
0055.png,chair,0.1350,0.0516,0.1735,0.0433,0.0473,0.0473
0058.png,chair,0.0609,0.0584,0.0514,0.0926,0.0473,0.0473
0061.png,chair,0.1558,0.0406,0.1394,0.0712,0.0549,0.0549
0001.jpg,desk,0.0822,0.1356,0.0513,0.1225,0.1225,0.0611
0002.jpg,desk,0.1056,0.0329,0.1015,0.0324,0.0324,0.0611
0003.jpg,desk,0.1169,0.0668,0.0633,0.0603,0.0603,0.0611
0004.jpg,desk,0.1159,0.0350,0.1088,0.0354,0.0354,0.0611
0005.jpg,desk,0.1140,0.1215,0.0321,0.0986,0.0986,0.0611
0006.jpg,desk,0.1064,0.0314,0.1000,0.0362,0.0362,0.0611
0009.jpg,desk,0.0623,0.0456,0.0617,0.0423,0.0423,0.1880
0011.jpg,desk,0.1777,0.1387,0.0865,0.1185,0.1185,0.1880
0015.jpg,desk,0.0494,0.0816,0.0602,0.0705,0.0705,0.1880
0018.jpg,desk,0.0213,0.0336,0.0350,0.0360,0.0360,0.1880
0023.jpg,desk,0.1056,0.1051,0.0346,0.0883,0.0883,0.1880
0025.jpg,desk,0.0577,0.0767,0.0546,0.0736,0.0736,0.0846
0027.jpg,desk,0.1232,0.1489,0.0610,0.1222,0.1222,0.1880
0030.jpg,desk,0.0766,0.0636,0.0406,0.0688,0.0688,0.1880
0033.jpg,desk,0.0627,0.0542,0.0846,0.0593,0.0593,0.1880
0034.jpg,desk,0.1504,0.1088,0.1651,0.1092,0.1092,0.1880
0036.jpg,desk,0.0499,0.1575,0.0512,0.1428,0.1428,0.1880
0038.jpg,desk,0.1007,0.0915,0.0542,0.0690,0.0690,0.1880
0039.jpg,desk,0.0858,0.1187,0.0374,0.1211,0.1211,0.1880
0042.jpg,desk,0.0216,0.0219,0.0311,0.0193,0.0193,0.1880
0043.jpg,desk,0.0817,0.1220,0.0422,0.1135,0.1135,0.1880
0047.jpg,desk,0.2097,0.2685,0.0794,0.2775,0.2775,0.1880
0049.jpg,desk,0.1156,0.1022,0.0567,0.0967,0.0967,0.1880
0050.jpg,desk,0.0927,0.1151,0.0386,0.1147,0.1147,0.1880
0051.jpg,desk,0.0425,0.0824,0.0588,0.0710,0.0710,0.1880
0052.jpg,desk,0.0393,0.0942,0.0099,0.0673,0.0673,0.1880
0055.jpg,desk,0.1182,0.1503,0.0793,0.1538,0.1538,0.1880
0056.jpg,desk,0.0785,0.1269,0.0528,0.1188,0.1188,0.1880
0058.jpg,desk,0.0582,0.0801,0.0091,0.0743,0.0743,0.1880
0060.jpg,desk,0.0197,0.0409,0.0190,0.0410,0.0410,0.1880
0006.png,sofa,0.1234,0.0729,0.0523,0.0710,0.0840,0.0840
0009.png,sofa,0.1231,0.1946,0.0436,0.1761,0.0840,0.0840
0013.png,sofa,0.1094,0.1422,0.0293,0.1364,0.0816,0.0816
0026.png,sofa,0.0707,0.2328,0.0190,0.2429,0.0816,0.0816
0030.png,sofa,0.1101,0.1467,0.0172,0.1293,0.0759,0.0759
0038.png,sofa,0.1484,0.2184,0.0076,0.2265,0.0759,0.0759
0039.png,sofa,0.0641,0.0889,0.0328,0.0902,0.0759,0.0759
0051.png,sofa,0.1041,0.0407,0.0358,0.0405,0.0759,0.0759
0056.png,sofa,0.2090,0.2193,0.0785,0.2141,0.0859,0.0859
0060.png,sofa,0.1437,0.3370,0.0146,0.3356,0.0586,0.0586
0062.png,sofa,0.0203,0.1172,0.0337,0.1026,0.0586,0.0586
0063.png,sofa,0.0974,0.1420,0.0128,0.1382,0.0759,0.0759
0066.png,sofa,0.0217,0.0100,0.0141,0.0136,0.0759,0.0759
0067.png,sofa,0.1994,0.1444,0.0547,0.1087,0.0840,0.0840
0068.png,sofa,0.1298,0.1108,0.0695,0.0921,0.0759,0.0759
0069.png,sofa,0.1727,0.0484,0.0579,0.0767,0.0757,0.0757
0085.png,sofa,0.0572,0.0204,0.0908,0.0367,0.0757,0.0757
0087.png,sofa,0.1189,0.1416,0.0322,0.1128,0.0759,0.0759
0089.png,sofa,0.0530,0.0077,0.0276,0.0154,0.0759,0.0759
0095.png,sofa,0.0425,0.0692,0.0581,0.0817,0.0757,0.0757
0098.png,sofa,0.1723,0.3377,0.0208,0.2759,0.0759,0.0759
0099.png,sofa,0.1554,0.3367,0.0051,0.3310,0.0600,0.0600
0101.png,sofa,0.2155,0.2515,0.0583,0.2253,0.0600,0.0600
0103.png,sofa,0.2405,0.2048,0.0719,0.1861,0.0859,0.0859
0104.png,sofa,0.1430,0.1997,0.0437,0.2101,0.0600,0.0600
0106.png,sofa,0.1780,0.1872,0.0511,0.1682,0.0859,0.0859
0107.png,sofa,0.0519,0.0667,0.0067,0.0580,0.0727,0.0727
0111.png,sofa,0.1847,0.1892,0.0578,0.2113,0.0600,0.0600
0112.png,sofa,0.1597,0.1922,0.0375,0.1775,0.0859,0.0859
0113.png,sofa,0.0954,0.1386,0.0296,0.1383,0.0600,0.0600
0001.png,table,0.1593,0.0419,0.1531,0.0414,0.0414,0.0296
0002.png,table,0.1785,0.2469,0.0446,0.2447,0.2447,0.0296
0003.png,table,0.0470,0.0347,0.0565,0.0377,0.0377,0.0296
0006.png,table,0.1119,0.0903,0.1425,0.0814,0.0814,0.0525
0010.png,table,0.0720,0.0766,0.0682,0.0708,0.0708,0.0296
0011.png,table,0.2619,0.0401,0.2744,0.0476,0.0476,0.2061
0015.png,table,0.1439,0.1996,0.0953,0.2236,0.2236,0.0630
0016.png,table,0.1561,0.0321,0.1537,0.0296,0.0296,0.2061
0019.png,table,0.1575,0.2551,0.0495,0.2576,0.2576,0.0630
0021.png,table,0.1776,0.0510,0.1824,0.0492,0.0492,0.2061
0022.png,table,0.3265,0.1757,0.3627,0.1704,0.1704,0.2061
0027.png,table,0.1628,0.1187,0.0989,0.1568,0.1568,0.0993
0028.png,table,0.1993,0.0143,0.2203,0.0173,0.0173,0.2061
0031.png,table,0.2685,0.1091,0.1986,0.0856,0.0856,0.0993
0035.png,table,0.1880,0.1233,0.0636,0.1062,0.1062,0.0296
0036.png,table,0.1819,0.0539,0.2075,0.0516,0.0516,0.2061
0038.png,table,0.1484,0.0502,0.1580,0.0561,0.0561,0.0296
0042.png,table,0.0576,0.0240,0.0391,0.0259,0.0259,0.0296
0043.png,table,0.0664,0.0067,0.0328,0.0497,0.0497,0.0296
0044.png,table,0.2724,0.1486,0.2860,0.1442,0.1442,0.0630
0045.png,table,0.1129,0.0585,0.0879,0.0702,0.0702,0.0525
0047.png,table,0.1053,0.0475,0.1330,0.0450,0.0450,0.2061
0048.png,table,0.1989,0.1496,0.0547,0.1601,0.1601,0.0525
0049.png,table,0.1886,0.0275,0.2362,0.0123,0.0123,0.2061
0050.png,table,0.0530,0.1673,0.1274,0.1608,0.1608,0.0525
0052.png,table,0.1261,0.0530,0.1383,0.0497,0.0497,0.2061
0053.png,table,0.1541,0.0154,0.1270,0.0163,0.0163,0.0296
0054.png,table,0.1545,0.1513,0.0213,0.1662,0.1662,0.0296
0055.png,table,0.1547,0.2612,0.0718,0.2637,0.2637,0.0993
0056.png,table,0.2054,0.1749,0.1617,0.1925,0.1925,0.2496
0001.jpg,wardrobe,0.0450,0.0230,0.0445,0.0237,0.0237,0.1533
0002.jpg,wardrobe,0.0535,0.0343,0.0543,0.0358,0.0358,0.1533
0003.jpg,wardrobe,0.0382,0.0124,0.0383,0.0114,0.0114,0.1533
0004.jpg,wardrobe,0.0541,0.0280,0.0546,0.0282,0.0282,0.1533
0006.jpg,wardrobe,0.0235,0.0246,0.0240,0.0289,0.0289,0.1533
0007.jpg,wardrobe,0.0170,0.0603,0.0164,0.0620,0.0620,0.1533
0008.jpg,wardrobe,0.0930,0.1212,0.0197,0.1222,0.1222,0.1533
0009.jpg,wardrobe,0.0473,0.0385,0.0148,0.0325,0.0325,0.1533
0010.jpg,wardrobe,0.0996,0.0929,0.0461,0.0928,0.0928,0.1533
0011.jpg,wardrobe,0.0106,0.0357,0.0116,0.0356,0.0356,0.1533
0012.jpg,wardrobe,0.0896,0.1070,0.0373,0.1166,0.1166,0.1533
0013.jpg,wardrobe,0.0553,0.0431,0.0560,0.0458,0.0458,0.1533
0014.jpg,wardrobe,0.0283,0.0239,0.0281,0.0241,0.0241,0.1533
0015.jpg,wardrobe,0.0422,0.1057,0.0434,0.1754,0.1754,0.1533
0016.jpg,wardrobe,0.2233,0.2390,0.0600,0.2334,0.2334,0.1533
0018.jpg,wardrobe,0.0650,0.0550,0.0298,0.0554,0.0554,0.1533
0020.jpg,wardrobe,0.0651,0.0422,0.0446,0.0452,0.0452,0.1533
0022.jpg,wardrobe,0.0119,0.0254,0.0148,0.0244,0.0244,0.1533
0023.jpg,wardrobe,0.0455,0.0816,0.0131,0.0829,0.0829,0.0164
0024.jpg,wardrobe,0.1404,0.2332,0.0791,0.2424,0.2424,0.1533
0025.jpg,wardrobe,0.0818,0.1437,0.0312,0.1494,0.1494,0.1533
0026.jpg,wardrobe,0.0733,0.0758,0.0333,0.0804,0.0804,0.1533
0027.jpg,wardrobe,0.0519,0.0507,0.0530,0.0519,0.0519,0.1533
0028.jpg,wardrobe,0.1535,0.1750,0.0301,0.1787,0.1787,0.1533
0029.jpg,wardrobe,0.0512,0.0525,0.0400,0.0538,0.0538,0.0164
0030.jpg,wardrobe,0.0343,0.0080,0.0340,0.0086,0.0086,0.1533
0031.jpg,wardrobe,0.0363,0.0526,0.0377,0.0515,0.0515,0.1533
0032.jpg,wardrobe,0.0470,0.0409,0.0252,0.0435,0.0435,0.1533
0033.jpg,wardrobe,0.0343,0.1395,0.0351,0.1414,0.1414,0.1533
0035.jpg,wardrobe,0.0486,0.0242,0.0487,0.0307,0.0307,0.1533
