image,category,gt_ratio_s,gt_ratio_m,nd_ARE,nd_conf,nd_short,nd_mid,nd_long,mg_ARE,mg_conf,mg_short,mg_mid,mg_long,rule_ARE,rule_short,rule_mid,rule_long
0003.jpg,bookcase,0.1383,0.3960,0.3503,0.519,174,260,274,0.2476,0.457,183,468,510,0.0719,300,1200,2000
0007.jpg,bookcase,0.1383,0.3960,0.2412,0.372,404,604,801,0.2968,0.285,739,782,1068,0.0719,300,1200,2000
0008.jpg,bookcase,0.1383,0.3960,0.0894,0.484,175,448,777,0.1458,0.505,114,751,917,0.0719,300,1200,2000
0009.jpg,bookcase,0.1383,0.3960,0.3848,0.470,318,446,453,0.1874,0.312,259,887,1045,0.0719,300,1200,2000
0010.jpg,bookcase,0.1383,0.3960,0.2959,0.495,324,410,516,0.1317,0.316,260,860,1205,0.0719,300,1200,2000
0011.jpg,bookcase,0.1383,0.3960,0.0094,0.549,158,393,980,0.0025,0.530,159,455,1165,0.0719,300,1200,2000
0012.jpg,bookcase,0.1383,0.3960,0.1464,0.578,197,251,460,0.0474,0.605,102,355,677,0.0719,300,1200,2000
0013.jpg,bookcase,0.1383,0.3960,0.1486,0.544,206,231,446,0.1524,0.558,227,259,491,0.0719,300,1200,2000
0015.jpg,bookcase,0.1383,0.3960,0.3315,0.478,305,534,549,0.2977,0.266,549,1092,1149,0.0719,300,1200,2000
0016.jpg,bookcase,0.1383,0.3960,0.0275,0.532,203,365,926,0.0873,0.425,391,540,1169,0.0719,300,1200,2000
0017.jpg,bookcase,0.1383,0.3960,0.0299,0.499,304,530,1343,0.0468,0.675,91,384,1208,0.0719,300,1200,2000
0018.jpg,bookcase,0.1383,0.3960,0.2704,0.478,204,533,547,0.0530,0.293,324,883,1741,0.0719,300,1200,2000
0021.jpg,bookcase,0.2635,0.7544,0.1851,0.472,313,443,481,0.0519,0.298,511,986,1419,0.0893,300,1200,2000
0022.jpg,bookcase,0.2635,0.7544,0.1486,0.669,208,243,769,0.1231,0.764,295,391,794,0.0893,300,1200,2000
0023.jpg,bookcase,0.2635,0.7544,0.1830,0.482,314,432,476,0.1401,0.232,891,1017,1785,0.0893,300,1200,2000
0024.jpg,bookcase,0.2635,0.7544,0.1447,0.480,345,420,527,0.1564,0.266,771,808,1679,0.0893,300,1200,2000
0025.jpg,bookcase,0.2635,0.7544,0.2013,0.490,369,459,511,0.0698,0.260,732,1174,1553,0.0893,300,1200,2000
0026.jpg,bookcase,0.2635,0.7544,0.1651,0.458,299,455,498,0.0524,0.243,591,1308,1617,0.0893,300,1200,2000
0027.jpg,bookcase,0.2635,0.7544,0.0518,0.564,221,441,565,0.0061,0.643,156,419,556,0.0893,300,1200,2000
0028.jpg,bookcase,0.2635,0.7544,0.0828,0.396,362,609,1016,0.1130,0.439,558,767,1378,0.0893,300,1200,2000
0029.jpg,bookcase,0.2635,0.7544,0.1424,0.551,377,426,767,0.1865,0.591,382,385,486,0.0893,300,1200,2000
0030.jpg,bookcase,0.2635,0.7544,0.2333,0.530,280,326,352,0.0506,0.638,168,326,468,0.0893,300,1200,2000
0031.jpg,bookcase,0.2635,0.7544,0.2433,0.528,298,396,397,0.1126,0.578,270,350,524,0.0893,300,1200,2000
0032.jpg,bookcase,0.2635,0.7544,0.2467,0.450,417,461,499,0.1007,0.264,493,1310,1366,0.0893,300,1200,2000
0033.jpg,bookcase,0.2635,0.7544,0.0771,0.459,315,504,655,0.0591,0.212,720,1341,1724,0.0893,300,1200,2000
0034.jpg,bookcase,0.2635,0.3772,0.3159,0.476,344,445,497,0.2248,0.246,342,1714,1741,0.1121,300,1200,2000
0035.jpg,bookcase,0.2635,0.3772,0.2699,0.552,212,276,337,0.1346,0.411,233,756,1010,0.1121,300,1200,2000
0036.jpg,bookcase,0.2635,0.3772,0.4228,0.464,416,422,439,0.1368,0.288,385,930,1251,0.1121,300,1200,2000
0001.png,chair,0.6787,0.6860,0.0974,0.549,319,485,555,0.0700,0.543,600,720,839,0.1216,600,600,1200
0003.png,chair,0.6787,0.6860,0.1402,0.476,635,737,768,0.0934,0.394,746,1071,1133,0.1216,600,600,1200
0004.png,chair,0.6787,0.6860,0.1480,0.445,593,595,657,0.0347,0.363,862,944,1230,0.1216,600,600,1200
0008.png,chair,0.4756,0.5386,0.0620,0.579,392,410,968,0.0230,0.554,508,557,1127,0.0210,600,600,1200
0010.png,chair,0.6787,0.6860,0.0697,0.499,345,424,489,0.1302,0.480,642,748,792,0.1216,600,600,1200
0011.png,chair,0.5215,0.6479,0.1723,0.224,614,837,861,0.0632,0.245,485,701,873,0.0565,600,600,1200
0013.png,chair,0.8279,0.8813,0.0986,0.514,442,451,632,0.0769,0.446,715,760,998,0.2364,600,600,1200
0015.png,chair,0.6167,0.6250,0.2206,0.553,455,490,497,0.0487,0.511,567,662,886,0.0806,600,600,1200
0016.png,chair,0.6167,0.6250,0.1412,0.383,402,573,585,0.0676,0.610,365,413,539,0.0806,600,600,1200
0017.png,chair,0.6787,0.6860,0.1347,0.541,496,504,566,0.1104,0.517,617,768,817,0.1216,600,600,1200
0019.png,chair,0.5739,0.7679,0.0545,0.471,398,677,781,0.0907,0.577,435,936,1076,0.1139,600,600,1200
0020.png,chair,0.6787,0.6860,0.1074,0.558,587,657,738,0.0675,0.618,539,729,904,0.1216,600,600,1200
0022.png,chair,0.6787,0.6860,0.0901,0.534,636,928,1429,0.1071,0.536,593,1030,1330,0.1216,600,600,1200
0026.png,chair,0.4756,0.5386,0.0210,0.292,582,582,1151,0.1752,0.371,433,704,738,0.0210,600,600,1200
0027.png,chair,0.4756,0.5386,0.0151,0.592,389,449,866,0.2557,0.496,822,844,936,0.0210,600,600,1200
0033.png,chair,0.6167,0.6250,0.1985,0.394,457,528,536,0.0890,0.631,405,417,545,0.0806,600,600,1200
0040.png,chair,0.5739,0.7679,0.0755,0.408,522,570,979,0.0831,0.543,371,786,936,0.1139,600,600,1200
0041.png,chair,0.6787,0.6860,0.0737,0.591,410,445,539,0.0695,0.604,576,713,819,0.1216,600,600,1200
0044.png,chair,0.6167,0.6250,0.0600,0.660,378,446,777,0.0664,0.521,509,571,1037,0.0806,600,600,1200
0045.png,chair,0.6167,0.6250,0.0491,0.742,346,456,707,0.1118,0.469,669,971,1040,0.0806,600,600,1200
0046.png,chair,0.6787,0.6860,0.0834,0.407,427,540,598,0.0595,0.327,716,921,1103,0.1216,600,600,1200
0047.png,chair,0.5014,0.5336,0.0547,0.514,454,456,759,0.0426,0.437,455,471,797,0.0117,600,600,1200
0048.png,chair,0.5014,0.5336,0.2039,0.281,661,693,822,0.1781,0.278,613,624,788,0.0117,600,600,1200
0049.png,chair,0.5739,0.7679,0.0461,0.450,459,538,828,0.0795,0.507,396,778,883,0.1139,600,600,1200
0050.png,chair,0.6787,0.6860,0.1417,0.494,569,601,654,0.0883,0.442,614,868,931,0.1216,600,600,1200
0051.png,chair,0.4756,0.5386,0.0442,0.528,298,387,597,0.1252,0.407,473,983,1163,0.0210,600,600,1200
0053.png,chair,0.5739,0.7679,0.1380,0.432,299,741,1120,0.1412,0.649,260,976,1346,0.1139,600,600,1200
0055.png,chair,0.5739,0.7679,0.0840,0.391,346,729,860,0.1139,0.437,482,1062,1081,0.1139,600,600,1200
0058.png,chair,0.5739,0.7679,0.0173,0.482,381,538,659,0.0571,0.564,423,733,850,0.1139,600,600,1200
0061.png,chair,0.6787,0.6860,0.1058,0.393,467,607,1025,0.0818,0.429,472,540,905,0.1216,600,600,1200
0001.jpg,desk,0.5000,0.6167,0.0721,0.286,756,892,1236,0.0649,0.266,777,1321,1747,0.0611,720,1200,1600
0002.jpg,desk,0.5000,0.6167,0.1107,0.413,277,561,633,0.0575,0.203,1259,1376,2044,0.0611,720,1200,1600
0003.jpg,desk,0.5000,0.6167,0.0372,0.488,237,346,580,0.0691,0.373,630,841,1112,0.0611,720,1200,1600
0004.jpg,desk,0.5000,0.6167,0.0919,0.473,257,509,641,0.1366,0.289,994,1141,1399,0.0611,720,1200,1600
0005.jpg,desk,0.5000,0.6167,0.0504,0.311,522,730,1297,0.0953,0.264,798,1574,1926,0.0611,720,1200,1600
0006.jpg,desk,0.5000,0.6167,0.1114,0.413,274,561,637,0.1140,0.219,1283,1370,1819,0.0611,720,1200,1600
0009.jpg,desk,0.2250,0.4111,0.2703,0.635,257,374,436,0.3769,0.477,727,883,911,0.1880,720,1200,1600
0011.jpg,desk,0.2250,0.4111,0.1913,0.455,330,889,1008,0.1721,0.370,350,903,1087,0.1880,720,1200,1600
0015.jpg,desk,0.2250,0.4111,0.0058,0.372,374,680,1613,0.1140,0.411,637,787,1457,0.1880,720,1200,1600
0018.jpg,desk,0.2250,0.4111,0.0202,0.372,399,588,1509,0.0708,0.349,550,1094,1938,0.1880,720,1200,1600
0023.jpg,desk,0.2250,0.4111,0.2042,0.419,533,698,986,0.3617,0.496,644,711,787,0.1880,720,1200,1600
0025.jpg,desk,0.2250,0.4111,0.1508,0.410,265,385,597,0.0408,0.239,720,859,2083,0.1880,720,1200,1600
0027.jpg,desk,0.2250,0.4111,0.3118,0.324,576,812,883,0.0276,0.372,208,592,1426,0.1880,720,1200,1600
0030.jpg,desk,0.2250,0.4111,0.1036,0.363,307,1157,1712,0.1413,0.396,243,1334,1788,0.1880,720,1200,1600
0033.jpg,desk,0.2250,0.4111,0.1657,0.454,369,516,781,0.1518,0.504,496,554,963,0.1880,720,1200,1600
0034.jpg,desk,0.2250,0.4111,0.1612,0.298,342,873,1085,0.1392,0.462,218,530,710,0.1880,720,1200,1600
0036.jpg,desk,0.2250,0.4111,0.1146,0.364,307,650,976,0.0509,0.271,714,783,2063,0.1880,720,1200,1600
0038.jpg,desk,0.2250,0.4111,0.1492,0.359,356,922,1180,0.2676,0.249,817,1533,1633,0.1880,720,1200,1600
0039.jpg,desk,0.2250,0.4111,0.0665,0.452,439,669,1326,0.0352,0.557,469,584,1424,0.1880,720,1200,1600
0042.jpg,desk,0.2250,0.4111,0.1085,0.220,289,1194,1769,0.1904,0.234,310,1713,1852,0.1880,720,1200,1600
0043.jpg,desk,0.2250,0.4111,0.0563,0.462,392,418,1524,0.0909,0.604,159,415,1581,0.1880,720,1200,1600
0047.jpg,desk,0.2250,0.4111,0.0546,0.482,392,416,1080,0.0273,0.531,233,468,1263,0.1880,720,1200,1600
0049.jpg,desk,0.2250,0.4111,0.2542,0.464,233,314,391,0.2418,0.661,161,243,297,0.1880,720,1200,1600
0050.jpg,desk,0.2250,0.4111,0.0533,0.449,280,723,1283,0.1486,0.339,405,1073,1367,0.1880,720,1200,1600
0051.jpg,desk,0.2250,0.4111,0.0069,0.343,357,690,1613,0.1183,0.377,572,684,1267,0.1880,720,1200,1600
0052.jpg,desk,0.2250,0.4111,0.0709,0.404,471,560,1214,0.0198,0.496,381,683,1846,0.1880,720,1200,1600
0055.jpg,desk,0.2250,0.4111,0.1932,0.402,313,583,737,0.0931,0.160,912,1521,2657,0.1880,720,1200,1600
0056.jpg,desk,0.2250,0.4111,0.0313,0.431,249,337,954,0.0801,0.500,170,401,1444,0.1880,720,1200,1600
0058.jpg,desk,0.2250,0.4111,0.0507,0.470,297,338,1192,0.0962,0.581,146,332,1375,0.1880,720,1200,1600
0060.jpg,desk,0.2250,0.4111,0.0359,0.402,394,499,1201,0.0330,0.583,241,629,1620,0.1880,720,1200,1600
0006.png,sofa,0.4282,0.4575,0.0906,0.354,686,751,1241,0.1661,0.440,472,1087,1166,0.0840,900,1800,3200
0009.png,sofa,0.4282,0.4575,0.3027,0.469,633,680,732,0.2400,0.518,649,750,871,0.0840,900,1800,3200
0013.png,sofa,0.3823,0.4189,0.2432,0.440,650,1088,1135,0.2001,0.421,596,1365,1399,0.0816,900,1800,3200
0026.png,sofa,0.3823,0.4189,0.1532,0.438,495,752,989,0.1165,0.447,651,681,1158,0.0816,900,1800,3200
0030.png,sofa,0.4079,0.4614,0.1047,0.465,723,1056,1503,0.1182,0.470,635,1296,1619,0.0759,900,1800,3200
0038.png,sofa,0.4079,0.4614,0.1136,0.502,414,961,1387,0.1334,0.468,398,1274,1929,0.0759,900,1800,3200
0039.png,sofa,0.4079,0.4614,0.0985,0.500,616,1191,1649,0.1092,0.480,592,1265,1767,0.0759,900,1800,3200
0051.png,sofa,0.4079,0.4614,0.1204,0.368,639,663,1058,0.2227,0.464,587,837,926,0.0759,900,1800,3200
0056.png,sofa,0.4001,0.4238,0.2062,0.446,391,1189,1243,0.1545,0.480,446,1284,1718,0.0859,900,1800,3200
0060.png,sofa,0.3833,0.4889,0.2309,0.463,529,631,741,0.2768,0.384,1276,1520,1642,0.0586,900,1800,3200
0062.png,sofa,0.3833,0.4889,0.0520,0.312,570,957,1485,0.1844,0.239,541,1833,1961,0.0586,900,1800,3200
0063.png,sofa,0.4079,0.4614,0.0613,0.524,576,787,1295,0.0547,0.541,602,883,1437,0.0759,900,1800,3200
0066.png,sofa,0.4079,0.4614,0.1608,0.371,519,1222,1312,0.1769,0.466,472,1209,1262,0.0759,900,1800,3200
0067.png,sofa,0.4282,0.4575,0.2085,0.432,634,973,1064,0.1351,0.450,486,1232,1716,0.0840,900,1800,3200
0068.png,sofa,0.4079,0.4614,0.3313,0.466,653,728,741,0.0797,0.440,577,911,1343,0.0759,900,1800,3200
0069.png,sofa,0.5025,0.5684,0.1816,0.431,483,603,672,0.0923,0.491,535,880,1050,0.0757,900,1800,3200
0085.png,sofa,0.5025,0.5684,0.0498,0.417,855,945,1475,0.1242,0.516,909,1089,1385,0.0757,900,1800,3200
0087.png,sofa,0.4079,0.4614,0.2543,0.435,614,963,966,0.1662,0.392,377,1207,1503,0.0759,900,1800,3200
0089.png,sofa,0.4079,0.4614,0.0734,0.389,555,679,1133,0.0145,0.468,513,597,1216,0.0759,900,1800,3200
0095.png,sofa,0.5025,0.5684,0.1967,0.359,926,1184,1270,0.0325,0.438,797,1025,1560,0.0757,900,1800,3200
0098.png,sofa,0.4079,0.4614,0.1914,0.467,498,804,902,0.0568,0.463,598,953,1585,0.0759,900,1800,3200
0099.png,sofa,0.3764,0.4775,0.0922,0.488,393,527,814,0.1635,0.484,680,711,1034,0.0600,900,1800,3200
0101.png,sofa,0.3764,0.4775,0.2764,0.471,476,616,649,0.1228,0.312,919,1056,1615,0.0600,900,1800,3200
0103.png,sofa,0.4001,0.4238,0.3243,0.454,620,741,758,0.1742,0.319,730,1363,1554,0.0859,900,1800,3200
0104.png,sofa,0.3764,0.4775,0.0853,0.478,536,886,1281,0.0996,0.428,751,1143,1643,0.0600,900,1800,3200
0106.png,sofa,0.4001,0.4238,0.1602,0.419,700,757,1117,0.0435,0.313,804,1119,2040,0.0859,900,1800,3200
0107.png,sofa,0.4367,0.5000,0.0860,0.512,477,892,1293,0.1365,0.575,367,1004,1346,0.0727,900,1800,3200
0111.png,sofa,0.3764,0.4775,0.2370,0.478,397,487,565,0.1563,0.367,746,784,1157,0.0600,900,1800,3200
0112.png,sofa,0.4001,0.4238,0.1391,0.389,584,755,1078,0.1973,0.393,616,869,1048,0.0859,900,1800,3200
0113.png,sofa,0.3764,0.4775,0.0614,0.487,501,772,1226,0.1663,0.541,568,888,1076,0.0600,900,1800,3200
0001.png,table,0.5000,0.6111,0.0296,0.485,469,618,1063,0.0510,0.329,453,737,1073,0.0463,700,800,1200
0002.png,table,0.5000,0.6111,0.0339,0.378,438,567,829,0.1044,0.345,699,751,1018,0.0463,700,800,1200
0003.png,table,0.5000,0.6111,0.0806,0.595,507,523,762,0.1423,0.499,476,671,746,0.0463,700,800,1200
0006.png,table,0.3814,0.6610,0.0925,0.421,284,853,1021,0.1141,0.398,397,1011,1017,0.0692,700,800,1200
0010.png,table,0.5000,0.6111,0.1067,0.376,326,492,1034,0.0835,0.529,390,545,1087,0.0463,700,800,1200
0011.png,table,0.8182,1.0000,0.1765,0.388,238,600,651,0.1137,0.384,495,961,986,0.1894,700,800,1200
0015.png,table,0.5000,0.6111,0.1592,0.380,223,587,618,0.2040,0.452,130,1117,1365,0.0463,700,800,1200
0016.png,table,0.8182,1.0000,0.2270,0.395,349,399,657,0.2819,0.316,552,698,1285,0.1894,700,800,1200
0019.png,table,0.5000,0.6111,0.2012,0.531,366,456,480,0.0439,0.481,425,664,1111,0.0463,700,800,1200
0021.png,table,0.8182,1.0000,0.2407,0.403,234,522,689,0.1696,0.277,446,1420,1425,0.1894,700,800,1200
0022.png,table,0.8182,1.0000,0.1977,0.539,154,437,483,0.3075,0.423,117,647,853,0.1894,700,800,1200
0027.png,table,0.2835,0.6186,0.0535,0.336,353,495,814,0.0500,0.516,399,579,973,0.1160,700,800,1200
0028.png,table,0.8182,1.0000,0.1667,0.340,249,558,612,0.2007,0.261,619,1495,1739,0.1894,700,800,1200
0031.png,table,0.2835,0.6186,0.2896,0.353,477,596,605,0.1453,0.392,548,719,947,0.1160,700,800,1200
0035.png,table,0.5000,0.6111,0.0267,0.339,579,617,1004,0.1224,0.379,532,1081,1149,0.0463,700,800,1200
0036.png,table,0.8182,1.0000,0.3062,0.382,239,427,741,0.2235,0.313,519,1014,1335,0.1894,700,800,1200
0038.png,table,0.5000,0.6111,0.2502,0.398,534,599,609,0.1586,0.355,467,661,710,0.0463,700,800,1200
0042.png,table,0.5000,0.6111,0.0640,0.599,624,653,1389,0.1315,0.373,626,1285,1304,0.0463,700,800,1200
0043.png,table,0.5000,0.6111,0.0560,0.323,431,547,764,0.1660,0.282,690,857,962,0.0463,700,800,1200
0044.png,table,0.5000,0.6111,0.0520,0.295,498,660,1212,0.1597,0.381,514,673,746,0.0463,700,800,1200
0045.png,table,0.3814,0.6610,0.0783,0.475,368,423,980,0.0857,0.662,327,437,972,0.0692,700,800,1200
0047.png,table,0.8182,1.0000,0.3444,0.388,242,461,895,0.2811,0.322,351,1014,1401,0.1894,700,800,1200
0048.png,table,0.3814,0.6610,0.0469,0.623,505,666,1165,0.2685,0.467,656,755,764,0.0692,700,800,1200
0049.png,table,0.8182,1.0000,0.1405,0.430,455,457,653,0.0620,0.445,560,657,746,0.1894,700,800,1200
0050.png,table,0.3814,0.6610,0.1585,0.357,557,687,819,0.0656,0.333,674,783,1315,0.0692,700,800,1200
0052.png,table,0.8182,1.0000,0.2621,0.394,427,435,835,0.0268,0.722,451,503,508,0.1894,700,800,1200
0053.png,table,0.5000,0.6111,0.1351,0.450,496,552,691,0.1165,0.519,554,1064,1108,0.0463,700,800,1200
0054.png,table,0.5000,0.6111,0.0230,0.418,517,555,919,0.0077,0.468,527,671,1074,0.0463,700,800,1200
0055.png,table,0.2835,0.6186,0.1047,0.354,479,500,969,0.0572,0.424,507,699,1174,0.1160,700,800,1200
0056.png,table,0.9488,1.0000,0.1729,0.523,298,302,420,0.2354,0.740,92,198,233,0.2329,700,800,1200
0001.jpg,wardrobe,0.2889,0.4512,0.2375,0.475,339,550,612,0.2018,0.432,662,868,1137,0.0164,600,900,1900
0002.jpg,wardrobe,0.2889,0.4512,0.2130,0.480,336,533,630,0.1216,0.379,603,975,1428,0.0164,600,900,1900
0003.jpg,wardrobe,0.2889,0.4512,0.1322,0.471,387,478,761,0.0885,0.481,239,851,1429,0.0164,600,900,1900
0004.jpg,wardrobe,0.2889,0.4512,0.2934,0.545,405,418,508,0.2131,0.561,559,720,927,0.0164,600,900,1900
0006.jpg,wardrobe,0.2889,0.4512,0.1316,0.493,380,485,762,0.0849,0.546,553,651,1210,0.0164,600,900,1900
0007.jpg,wardrobe,0.2889,0.4512,0.2972,0.383,500,568,654,0.1942,0.275,640,1024,1258,0.0164,600,900,1900
0008.jpg,wardrobe,0.2889,0.4512,0.0741,0.395,270,339,1177,0.0276,0.342,428,667,1331,0.0164,600,900,1900
0009.jpg,wardrobe,0.2889,0.4512,0.0813,0.348,246,765,1278,0.0881,0.260,402,1259,3489,0.0164,600,900,1900
0010.jpg,wardrobe,0.2889,0.4512,0.0345,0.518,220,425,770,0.0289,0.371,435,801,1495,0.0164,600,900,1900
0011.jpg,wardrobe,0.2889,0.4512,0.1717,0.457,271,500,614,0.2078,0.468,122,969,1078,0.0164,600,900,1900
0012.jpg,wardrobe,0.2889,0.4512,0.0681,0.452,520,574,1159,0.0409,0.562,247,566,1119,0.0164,600,900,1900
0013.jpg,wardrobe,0.2889,0.4512,0.2131,0.462,279,476,547,0.1737,0.410,297,1004,1035,0.0164,600,900,1900
0014.jpg,wardrobe,0.2889,0.4512,0.0764,0.347,494,793,1328,0.1408,0.389,729,798,1314,0.0164,600,900,1900
0015.jpg,wardrobe,0.2889,0.4512,0.0980,0.354,183,641,1003,0.3043,0.412,345,526,527,0.0164,600,900,1900
0016.jpg,wardrobe,0.2889,0.4512,0.3043,0.437,514,530,632,0.1752,0.181,1034,1401,1924,0.0164,600,900,1900
0018.jpg,wardrobe,0.2889,0.4512,0.0556,0.442,205,466,791,0.0792,0.548,155,478,806,0.0164,600,900,1900
0020.jpg,wardrobe,0.2889,0.4512,0.2008,0.487,319,505,614,0.1154,0.419,262,909,1272,0.0164,600,900,1900
0022.jpg,wardrobe,0.2889,0.4512,0.0629,0.573,223,483,760,0.0654,0.613,255,671,1158,0.0164,600,900,1900
0023.jpg,wardrobe,0.2889,0.4512,0.1208,0.338,319,498,741,0.1950,0.397,147,732,784,0.0164,600,900,1900
0024.jpg,wardrobe,0.2889,0.4512,0.0574,0.415,252,444,763,0.1030,0.341,185,811,1328,0.0164,600,900,1900
0025.jpg,wardrobe,0.2889,0.4512,0.1528,0.570,134,580,718,0.2555,0.488,89,1645,1675,0.0164,600,900,1900
0026.jpg,wardrobe,0.2889,0.4512,0.1279,0.508,199,672,865,0.2310,0.374,140,2294,2518,0.0164,600,900,1900
0027.jpg,wardrobe,0.2889,0.4512,0.2638,0.478,350,541,582,0.1991,0.374,660,1011,1249,0.0164,600,900,1900
0028.jpg,wardrobe,0.2889,0.4512,0.0265,0.308,314,388,897,0.1959,0.292,556,703,949,0.0164,600,900,1900
0029.jpg,wardrobe,0.2889,0.4512,0.0384,0.421,387,769,1849,0.1375,0.474,698,1021,1491,0.0164,600,900,1900
0030.jpg,wardrobe,0.2889,0.4512,0.1286,0.468,376,510,788,0.0959,0.512,189,828,1419,0.0164,600,900,1900
0031.jpg,wardrobe,0.2889,0.4512,0.2424,0.459,316,346,451,0.0244,0.415,296,378,916,0.0164,600,900,1900
0032.jpg,wardrobe,0.2889,0.4512,0.0192,0.495,223,350,839,0.0376,0.647,124,294,666,0.0164,600,900,1900
0033.jpg,wardrobe,0.2889,0.4512,0.0768,0.435,211,503,743,0.1351,0.438,131,715,1030,0.0164,600,900,1900
0035.jpg,wardrobe,0.2889,0.4512,0.1421,0.567,358,417,665,0.1516,0.532,637,771,1178,0.0164,600,900,1900
