image,category,gt_ratio_short,gt_ratio_mid,boxer_W_mm,boxer_D_mm,boxer_H_mm,boxer_ratio_short,boxer_ratio_mid,boxer_conf,boxer_ARE,rule_type,rule_W_mm,rule_D_mm,rule_H_mm,rule_ratio_short,rule_ratio_mid,rule_ARE,boxer_ms
0040.png,bed,0.5364,0.7941,2068,1292,1543,0.6245,0.7462,0.705,0.0454,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0324,159.5
0041.png,bed,0.5714,0.7878,1943,1110,1281,0.5713,0.6590,0.580,0.0430,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0420,166.7
0042.jpg,bed,0.4246,0.5131,1554,788,797,0.5072,0.5130,0.387,0.0276,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0986,153.5
0043.jpg,bed,0.4246,0.5131,1886,770,1056,0.4086,0.5602,0.638,0.0210,DOUBLE_BED,2000,1067,1400,0.5333,0.7000,0.0986,166.5
0001.jpg,bookcase,0.3088,0.4632,994,275,752,0.2765,0.7564,0.380,0.1085,,2000,300,1200,0.1500,0.6000,0.0985,155.7
0002.jpg,bookcase,0.1383,0.3960,911,360,397,0.3953,0.4356,0.520,0.0989,,2000,300,1200,0.1500,0.6000,0.0719,150.9
0003.jpg,bookcase,0.1383,0.3960,429,117,399,0.2720,0.9291,0.493,0.2222,,2000,300,1200,0.1500,0.6000,0.0719,159.5
0007.jpg,bookcase,0.1383,0.3960,1296,605,775,0.4668,0.5985,0.409,0.1770,,2000,300,1200,0.1500,0.6000,0.0719,155.5
0008.jpg,bookcase,0.1383,0.3960,1959,278,1076,0.1420,0.5493,0.647,0.0523,,2000,300,1200,0.1500,0.6000,0.0719,154.4
0009.jpg,bookcase,0.1383,0.3960,853,382,631,0.4482,0.7396,0.432,0.2178,,2000,300,1200,0.1500,0.6000,0.0719,153.0
0010.jpg,bookcase,0.1383,0.3960,769,368,472,0.4782,0.6138,0.474,0.1859,,2000,300,1200,0.1500,0.6000,0.0719,173.7
0011.jpg,bookcase,0.1383,0.3960,1915,376,944,0.1963,0.4929,0.629,0.0516,,2000,300,1200,0.1500,0.6000,0.0719,153.0
0012.jpg,bookcase,0.1383,0.3960,913,661,687,0.7239,0.7527,0.406,0.3141,,2000,300,1200,0.1500,0.6000,0.0719,160.9
0013.jpg,bookcase,0.1383,0.3960,925,690,907,0.7460,0.9806,0.317,0.3974,,2000,300,1200,0.1500,0.6000,0.0719,147.5
0015.jpg,bookcase,0.1383,0.3960,670,573,630,0.8551,0.9404,0.407,0.4204,,2000,300,1200,0.1500,0.6000,0.0719,152.2
0016.jpg,bookcase,0.1383,0.3960,1940,352,1124,0.1812,0.5795,0.550,0.0755,,2000,300,1200,0.1500,0.6000,0.0719,157.2
0017.jpg,bookcase,0.1383,0.3960,2175,258,684,0.1186,0.3147,0.699,0.0337,,2000,300,1200,0.1500,0.6000,0.0719,148.5
0018.jpg,bookcase,0.1383,0.3960,896,350,362,0.3901,0.4035,0.509,0.0864,,2000,300,1200,0.1500,0.6000,0.0719,145.9
0021.jpg,bookcase,0.2635,0.7544,624,442,583,0.7084,0.9347,0.428,0.2084,,2000,300,1200,0.1500,0.6000,0.0893,150.8
0022.jpg,bookcase,0.2635,0.7544,1017,328,836,0.3225,0.8217,0.600,0.0421,,2000,300,1200,0.1500,0.6000,0.0893,154.6
0023.jpg,bookcase,0.2635,0.7544,599,283,559,0.4725,0.9341,0.511,0.1296,,2000,300,1200,0.1500,0.6000,0.0893,170.0
0024.jpg,bookcase,0.2635,0.7544,694,300,539,0.4319,0.7771,0.458,0.0637,,2000,300,1200,0.1500,0.6000,0.0893,170.3
0025.jpg,bookcase,0.2635,0.7544,792,269,724,0.3394,0.9150,0.532,0.0788,,2000,300,1200,0.1500,0.6000,0.0893,158.7
0026.jpg,bookcase,0.2635,0.7544,647,487,583,0.7531,0.9006,0.398,0.2119,,2000,300,1200,0.1500,0.6000,0.0893,157.1
0027.jpg,bookcase,0.2635,0.7544,883,438,883,0.4960,0.9999,0.461,0.1594,,2000,300,1200,0.1500,0.6000,0.0893,151.1
0028.jpg,bookcase,0.2635,0.7544,853,218,828,0.2553,0.9713,0.567,0.0750,,2000,300,1200,0.1500,0.6000,0.0893,149.8
0029.jpg,bookcase,0.2635,0.7544,1168,335,1009,0.2864,0.8633,0.653,0.0440,,2000,300,1200,0.1500,0.6000,0.0893,160.9
0030.jpg,bookcase,0.2635,0.7544,882,690,721,0.7826,0.8175,0.397,0.1941,,2000,300,1200,0.1500,0.6000,0.0893,145.0
0031.jpg,bookcase,0.2635,0.7544,816,452,783,0.5537,0.9597,0.472,0.1652,,2000,300,1200,0.1500,0.6000,0.0893,160.0
0032.jpg,bookcase,0.2635,0.7544,697,440,634,0.6311,0.9092,0.438,0.1741,,2000,300,1200,0.1500,0.6000,0.0893,152.1
0033.jpg,bookcase,0.2635,0.7544,641,451,513,0.7035,0.8004,0.440,0.1620,,2000,300,1200,0.1500,0.6000,0.0893,153.0
0034.jpg,bookcase,0.2635,0.3772,828,318,407,0.3839,0.4908,0.501,0.0780,,2000,300,1200,0.1500,0.6000,0.1121,148.7
0035.jpg,bookcase,0.2635,0.3772,481,177,469,0.3678,0.9733,0.466,0.2335,,2000,300,1200,0.1500,0.6000,0.1121,148.6
0036.jpg,bookcase,0.2635,0.3772,750,390,721,0.5198,0.9611,0.403,0.2800,,2000,300,1200,0.1500,0.6000,0.1121,144.8
0001.png,chair,0.6787,0.6860,835,710,732,0.8502,0.8760,0.379,0.1205,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,146.8
0003.png,chair,0.6787,0.6860,949,771,888,0.8130,0.9360,0.725,0.1281,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,144.9
0004.png,chair,0.6787,0.6860,745,697,720,0.9352,0.9656,0.611,0.1787,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,145.9
0008.png,chair,0.4756,0.5386,668,578,596,0.8648,0.8924,0.413,0.2477,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0210,147.2
0010.png,chair,0.6787,0.6860,931,783,795,0.8411,0.8542,0.356,0.1102,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,147.8
0011.png,chair,0.5215,0.6479,1051,502,541,0.4777,0.5148,0.305,0.0589,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0565,142.1
0013.png,chair,0.8279,0.8813,859,824,829,0.9591,0.9650,0.437,0.0716,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.2364,146.3
0015.png,chair,0.6167,0.6250,512,501,506,0.9798,0.9890,0.444,0.2423,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0806,146.5
0016.png,chair,0.6167,0.6250,577,505,545,0.8740,0.9436,0.466,0.1920,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0806,149.9
0017.png,chair,0.6787,0.6860,584,547,580,0.9363,0.9917,0.512,0.1878,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,146.0
0019.png,chair,0.5739,0.7679,650,485,561,0.7455,0.8629,0.676,0.0888,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1139,146.7
0020.png,chair,0.6787,0.6860,932,743,807,0.7965,0.8653,0.614,0.0990,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,147.4
0022.png,chair,0.6787,0.6860,970,791,872,0.8155,0.8990,0.753,0.1166,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,150.2
0026.png,chair,0.4756,0.5386,711,673,684,0.9465,0.9627,0.310,0.2983,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0210,147.5
0027.png,chair,0.4756,0.5386,823,699,730,0.8490,0.8869,0.432,0.2406,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0210,145.7
0033.png,chair,0.6167,0.6250,550,414,500,0.7525,0.9098,0.464,0.1402,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0806,146.2
0040.png,chair,0.5739,0.7679,582,394,458,0.6777,0.7872,0.657,0.0410,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1139,146.5
0041.png,chair,0.6787,0.6860,720,580,600,0.8058,0.8341,0.447,0.0917,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,146.6
0044.png,chair,0.6167,0.6250,1521,704,1058,0.4627,0.6960,0.243,0.0750,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0806,145.9
0045.png,chair,0.6167,0.6250,559,485,496,0.8672,0.8869,0.659,0.1708,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0806,146.4
0046.png,chair,0.6787,0.6860,748,579,653,0.7746,0.8724,0.505,0.0941,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,146.8
0047.png,chair,0.5014,0.5336,828,754,756,0.9098,0.9125,0.254,0.2624,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0117,147.6
0048.png,chair,0.5014,0.5336,662,604,652,0.9124,0.9855,0.300,0.2876,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0117,148.6
0049.png,chair,0.5739,0.7679,720,454,477,0.6309,0.6627,0.586,0.0541,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1139,145.3
0050.png,chair,0.6787,0.6860,884,734,784,0.8305,0.8874,0.588,0.1177,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,146.7
0051.png,chair,0.4756,0.5386,629,489,503,0.7779,0.8006,0.484,0.1881,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.0210,146.1
0053.png,chair,0.5739,0.7679,550,427,482,0.7761,0.8764,0.689,0.1035,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1139,148.9
0055.png,chair,0.5739,0.7679,550,389,458,0.7075,0.8323,0.545,0.0660,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1139,147.8
0058.png,chair,0.5739,0.7679,722,505,561,0.6996,0.7769,0.476,0.0449,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1139,147.4
0061.png,chair,0.6787,0.6860,959,726,831,0.7565,0.8657,0.582,0.0858,STANDARD_CHAIR,1200,600,600,0.5000,0.5000,0.1216,149.3
0001.jpg,desk,0.5000,0.6167,1047,657,954,0.6274,0.9110,0.472,0.1406,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.0611,150.1
0002.jpg,desk,0.5000,0.6167,516,324,331,0.6283,0.6415,0.546,0.0510,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.0611,148.1
0003.jpg,desk,0.5000,0.6167,445,274,374,0.6173,0.8406,0.550,0.1138,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.0611,156.1
0004.jpg,desk,0.5000,0.6167,548,327,395,0.5968,0.7213,0.482,0.0671,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.0611,152.9
0005.jpg,desk,0.5000,0.6167,806,661,775,0.8204,0.9615,0.620,0.2217,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.0611,165.4
0006.jpg,desk,0.5000,0.6167,519,326,381,0.6294,0.7354,0.503,0.0827,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.0611,149.2
0009.jpg,desk,0.2250,0.4111,486,245,252,0.5049,0.5186,0.588,0.1291,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,149.1
0011.jpg,desk,0.2250,0.4111,1033,493,603,0.4771,0.5831,0.623,0.1414,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,154.3
0015.jpg,desk,0.2250,0.4111,1166,487,553,0.4180,0.4745,0.737,0.0854,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,148.5
0018.jpg,desk,0.2250,0.4111,1675,442,502,0.2639,0.2997,0.590,0.0501,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,146.9
0023.jpg,desk,0.2250,0.4111,1675,453,1674,0.2705,0.9999,0.364,0.2115,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,148.6
0025.jpg,desk,0.2250,0.4111,419,213,240,0.5083,0.5726,0.636,0.1483,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,144.7
0027.jpg,desk,0.2250,0.4111,988,456,509,0.4614,0.5150,0.624,0.1134,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,151.6
0030.jpg,desk,0.2250,0.4111,1240,471,696,0.3798,0.5610,0.753,0.1016,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,148.0
0033.jpg,desk,0.2250,0.4111,2884,343,1606,0.1191,0.5568,0.187,0.0839,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,157.8
0034.jpg,desk,0.2250,0.4111,900,508,796,0.5644,0.8849,0.547,0.2710,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,155.8
0036.jpg,desk,0.2250,0.4111,662,446,531,0.6741,0.8019,0.530,0.2799,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,154.9
0038.jpg,desk,0.2250,0.4111,917,407,513,0.4439,0.5592,0.737,0.1223,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,151.2
0039.jpg,desk,0.2250,0.4111,1191,581,636,0.4880,0.5339,0.743,0.1286,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,153.7
0042.jpg,desk,0.2250,0.4111,1615,442,558,0.2733,0.3453,0.557,0.0380,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,151.4
0043.jpg,desk,0.2250,0.4111,1421,565,794,0.3975,0.5590,0.587,0.1068,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,148.7
0047.jpg,desk,0.2250,0.4111,778,423,537,0.5441,0.6901,0.667,0.1994,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,154.9
0049.jpg,desk,0.2250,0.4111,352,154,233,0.4378,0.6618,0.752,0.1545,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,147.2
0050.jpg,desk,0.2250,0.4111,1175,517,609,0.4400,0.5180,0.704,0.1073,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,149.1
0051.jpg,desk,0.2250,0.4111,1161,502,585,0.4328,0.5041,0.631,0.1003,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,149.5
0052.jpg,desk,0.2250,0.4111,1434,696,765,0.4851,0.5337,0.657,0.1275,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,145.0
0055.jpg,desk,0.2250,0.4111,658,290,473,0.4409,0.7194,0.539,0.1747,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,150.1
0056.jpg,desk,0.2250,0.4111,1088,459,555,0.4216,0.5106,0.655,0.0987,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,150.7
0058.jpg,desk,0.2250,0.4111,1346,407,663,0.3028,0.4928,0.689,0.0532,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,186.2
0060.jpg,desk,0.2250,0.4111,1439,532,608,0.3699,0.4228,0.485,0.0522,L_SHAPED_DESK,1600,720,1200,0.4500,0.7500,0.1880,154.0
0006.png,sofa,0.4282,0.4575,1755,765,934,0.4360,0.5322,0.615,0.0275,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0840,145.0
0009.png,sofa,0.4282,0.4575,1332,800,974,0.6006,0.7315,0.734,0.1488,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0840,145.6
0013.png,sofa,0.3823,0.4189,1464,825,951,0.5637,0.6497,0.762,0.1374,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0816,147.9
0026.png,sofa,0.3823,0.4189,1491,810,863,0.5436,0.5789,0.646,0.1071,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0816,146.8
0030.png,sofa,0.4079,0.4614,1753,907,920,0.5174,0.5249,0.632,0.0577,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,151.9
0038.png,sofa,0.4079,0.4614,1372,929,1071,0.6767,0.7804,0.745,0.1959,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,147.4
0039.png,sofa,0.4079,0.4614,1595,918,930,0.5757,0.5828,0.716,0.0964,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,148.4
0051.png,sofa,0.4079,0.4614,2234,782,873,0.3501,0.3910,0.507,0.0428,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,144.3
0056.png,sofa,0.4001,0.4238,1748,854,1347,0.4889,0.7707,0.593,0.1452,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0859,146.9
0060.png,sofa,0.3833,0.4889,860,601,824,0.6984,0.9571,0.600,0.2611,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0586,144.7
0062.png,sofa,0.3833,0.4889,1031,688,733,0.6671,0.7107,0.523,0.1685,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0586,146.4
0063.png,sofa,0.4079,0.4614,1480,924,925,0.6240,0.6251,0.683,0.1266,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,149.7
0066.png,sofa,0.4079,0.4614,2208,825,916,0.3736,0.4149,0.539,0.0270,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,146.8
0067.png,sofa,0.4282,0.4575,1512,851,1153,0.5627,0.7623,0.663,0.1465,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0840,145.4
0068.png,sofa,0.4079,0.4614,1494,789,914,0.5283,0.6119,0.463,0.0903,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,147.7
0069.png,sofa,0.5025,0.5684,969,678,843,0.7000,0.8707,0.318,0.1666,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0757,145.5
0085.png,sofa,0.5025,0.5684,1749,763,806,0.4361,0.4610,0.653,0.0579,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0757,147.9
0087.png,sofa,0.4079,0.4614,1374,879,950,0.6400,0.6916,0.663,0.1541,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,146.6
0089.png,sofa,0.4079,0.4614,2036,805,810,0.3954,0.3980,0.654,0.0253,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,146.6
0095.png,sofa,0.5025,0.5684,2320,850,1035,0.3663,0.4461,0.606,0.0861,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0757,143.0
0098.png,sofa,0.4079,0.4614,1485,905,1073,0.6095,0.7225,0.652,0.1542,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0759,147.0
0099.png,sofa,0.3764,0.4775,1389,614,774,0.4419,0.5570,0.324,0.0483,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0600,149.5
0101.png,sofa,0.3764,0.4775,990,639,865,0.6449,0.8733,0.514,0.2214,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0600,146.7
0103.png,sofa,0.4001,0.4238,1282,751,1026,0.5857,0.8005,0.505,0.1875,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0859,148.5
0104.png,sofa,0.3764,0.4775,1252,765,839,0.6111,0.6703,0.676,0.1425,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0600,153.7
0106.png,sofa,0.4001,0.4238,1562,838,1102,0.5365,0.7057,0.662,0.1395,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0859,154.5
0107.png,sofa,0.4367,0.5000,1863,927,999,0.4978,0.5362,0.711,0.0324,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0727,151.0
0111.png,sofa,0.3764,0.4775,945,672,796,0.7111,0.8427,0.505,0.2333,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0600,147.2
0112.png,sofa,0.4001,0.4238,1437,1003,1121,0.6981,0.7798,0.741,0.2180,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0859,148.2
0113.png,sofa,0.3764,0.4775,1645,825,862,0.5019,0.5239,0.657,0.0573,L_SHAPED_SOFA,3200,900,1800,0.2812,0.5625,0.0600,146.6
0001.png,table,0.5000,0.6111,936,389,488,0.4154,0.5210,0.631,0.0582,,1200,700,800,0.5833,0.6667,0.0463,147.4
0002.png,table,0.5000,0.6111,677,495,566,0.7309,0.8354,0.627,0.1517,,1200,700,800,0.5833,0.6667,0.0463,147.3
0003.png,table,0.5000,0.6111,994,435,443,0.4377,0.4459,0.653,0.0758,,1200,700,800,0.5833,0.6667,0.0463,146.9
0006.png,table,0.3814,0.6610,1026,459,562,0.4478,0.5476,0.592,0.0600,,1200,700,800,0.5833,0.6667,0.0692,146.1
0010.png,table,0.5000,0.6111,840,333,352,0.3967,0.4197,0.534,0.0982,,1200,700,800,0.5833,0.6667,0.0463,147.3
0011.png,table,0.8182,1.0000,561,457,471,0.8149,0.8400,0.507,0.0544,,1200,700,800,0.5833,0.6667,0.1894,148.4
0015.png,table,0.5000,0.6111,505,458,502,0.9065,0.9937,0.666,0.2630,,1200,700,800,0.5833,0.6667,0.0463,148.4
0016.png,table,0.8182,1.0000,595,535,592,0.9002,0.9948,0.484,0.0291,,1200,700,800,0.5833,0.6667,0.1894,146.5
0019.png,table,0.5000,0.6111,478,380,419,0.7941,0.8765,0.565,0.1865,,1200,700,800,0.5833,0.6667,0.0463,146.1
0021.png,table,0.8182,1.0000,585,397,472,0.6785,0.8082,0.458,0.1105,,1200,700,800,0.5833,0.6667,0.1894,142.5
0022.png,table,0.8182,1.0000,370,305,318,0.8238,0.8591,0.675,0.0488,,1200,700,800,0.5833,0.6667,0.1894,153.7
0027.png,table,0.2835,0.6186,966,294,350,0.3047,0.3626,0.476,0.0924,,1200,700,800,0.5833,0.6667,0.1160,146.0
0028.png,table,0.8182,1.0000,1040,617,675,0.5929,0.6486,0.326,0.1922,,1200,700,800,0.5833,0.6667,0.1894,152.0
0031.png,table,0.2835,0.6186,1057,364,370,0.3444,0.3500,0.444,0.1098,,1200,700,800,0.5833,0.6667,0.1160,145.9
0035.png,table,0.5000,0.6111,690,419,504,0.6078,0.7308,0.669,0.0758,,1200,700,800,0.5833,0.6667,0.0463,146.3
0036.png,table,0.8182,1.0000,511,375,387,0.7346,0.7583,0.507,0.1084,,1200,700,800,0.5833,0.6667,0.1894,147.1
0038.png,table,0.5000,0.6111,1468,400,470,0.2723,0.3199,0.355,0.1730,,1200,700,800,0.5833,0.6667,0.0463,148.8
0042.png,table,0.5000,0.6111,1114,646,666,0.5801,0.5981,0.458,0.0310,,1200,700,800,0.5833,0.6667,0.0463,149.3
0043.png,table,0.5000,0.6111,1092,453,488,0.4151,0.4469,0.387,0.0830,,1200,700,800,0.5833,0.6667,0.0463,148.7
0044.png,table,0.5000,0.6111,1015,404,544,0.3980,0.5360,0.401,0.0590,,1200,700,800,0.5833,0.6667,0.0463,145.6
